corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-ita	IT18961_DAnnunzio_Le-Vergini-delle-Rocce	IT18961	D'Annunzio, Gabriele	Le Vergini delle Rocce	1863	1938	M	NA	1896	1896	NA	NA	NA	NA	gr	56540	NA	NA	medium	high	T3
ELTeC-ita	IT18970_De-Marchi_Giacomo-l-idealista	IT18970	De Marchi, Emilio	Giacomo l'idealista	1851	1901	M	viaf:12380049	1897	1897	NA	1974	NA	NA	eng	93065	NA	NA	medium	high	T3
ELTeC-ita	IT18980_Svevo_Senilità	IT18980	Svevo, Italo	Senilità	1861	1928	M	NA	1898	1898	NA	1969	NA	NA	ita	66501	NA	NA	medium	high	T1
ELTeC-ita	IT19000_DAnnunzio_Il-fuoco	IT19000	D'Annunzio, Gabriele	Il fuoco	1863	1938	M	NA	1900	1900	NA	2009	NA	NA	it	97471	NA	NA	medium	high	T4
ELTeC-ita	IT19010_Fogazzaro_Piccolo-mondo-moderno	IT19010	Fogazzaro, Antonio	Piccolo mondo moderno	1842	1911	M	NA	1901	1901	NA	NA	NA	NA	ita	90004	NA	NA	medium	unspecified	T4
ELTeC-ita	IT19012_Invernizio_I-Misteri-Delle-Soffitte	IT19012	Invernizio, Carolina	I Misteri Delle Soffitte	1851	1916	F	viaf:90127951	1901	1901	NA	1930	NA	NA	it	89608	NA	NA	medium	high	T4
ELTeC-ita	IT19200_Capuana_Il-marchese-di-Roccaverdina	IT19200	Capuana, Luigi	Il marchese di Roccaverdina	1839	1915	M	NA	1901	1901	NA	1920	NA	NA	it	73239	NA	NA	medium	high	T4
ELTeC-ita	IT19011_Pirandello_L-Esclusa	IT19011	Pirandello, Luigi	L'Esclusa	1867	1936	M	NA	1901	1901	NA	2007	NA	NA	ita	55842	NA	NA	medium	high	T4
ELTeC-ita	IT19030_Zuccari_Una-Passione	IT19030	Zuccari, Anna Maria	Una Passione	1846	1918	F	NA	1903	1903	NA	1910	NA	NA	ita	55822	NA	NA	medium	high	T4
ELTeC-ita	IT19040_Pirandello_Il-fu-Mattia-Pascal	IT19040	Pirandello, Luigi	Il fu Mattia Pascal	1867	1936	M	NA	1904	1904	NA	1919	NA	NA	it	75060	NA	NA	medium	high	T4
ELTeC-ita	IT19121_Slataper_Il-mio-Carso	IT19121	Slataper, Scipio	Il mio Carso	1888	1915	M	NA	1912	1912	NA	NA	NA	NA	ita	27440	NA	NA	short	high	T4
ELTeC-ita	IT19130_Zuccoli_La-freccia-nel-fianco	IT19130	Zuccoli, Luciano	La freccia nel fianco	1868	1929	M	viaf:7141879	1913	1913	NA	1917	NA	NA	ita	58498	NA	NA	medium	unspecified	T4
ELTeC-ita	IT19130_Pirandello_I-vecchi-e-i-giovani	IT19130	Pirandello, Luigi	I vecchi e i giovani	1867	1936	M	NA	1913	1913	NA	NA	NA	NA	it	143062	NA	NA	long	high	T4
ELTeC-ita	IT19190_Aleramo_Una-Donna	IT19190	Aleramo, Sibilla	Una Donna	1876	1960	F	NA	1919	1919	NA	NA	NA	NA	it	60037	NA	NA	medium	high	T4
ELTeC-ita	IT19191_Tozzi_Con-gli-occhi-chiusi	IT19191	Tozzi, Federigo	Con gli occhi chiusi	1883	1920	M	NA	1919	1919	NA	1987	NA	NA	ita	46288	NA	NA	short	high	T4
ELTeC-ita	IT19201_Tozzi_Tre-croci	IT19201	Tozzi, Federigo	Tre croci	1883	1920	M	NA	1920	1920	NA	NA	NA	NA	ita	28390	NA	NA	short	high	T4
ELTeC-ita	IT19220_Aleramo_Trasfigurazione	IT19220	Aleramo, Sibilla	Trasfigurazione	1876	1960	F	NA	1922	1922	NA	NA	NA	NA	it	6366	NA	NA	short	high	T4
ELTeC-ita	IT19230_Svevo_La-coscienza-di-Zeno	IT19230	Svevo, Italo	La coscienza di Zeno	1861	1928	M	NA	1923	1923	NA	NA	NA	NA	ita	141904	NA	NA	long	high	T4
ELTeC-ita	IT19261_Pirandello_Uno-nessuno-e-centomila	IT19261	Pirandello, Luigi	Uno, nessuno e centomila	1867	1936	M	NA	1926	1926	NA	2007	NA	NA	ita	44880	NA	NA	short	high	T4
ELTeC-ita	IT18850_Barbieri_In-basso	IT18850	Barbieri, Ulisse	In basso	1841	1899	M	viaf:88997390	1885	NA	NA	1885	NA	NA	it	50911	NA	NA	medium	low	T1
ELTeC-ita	IT18620_Petruccelli-della-Gattina_I-moribondi-del-Palazzo-Carignano	IT18620	Petruccelli della Gattina, Ferdinando	I moribondi del Palazzo Carignano	1815	1890	M	viaf:17255247	1862	NA	NA	1862	NA	NA	ita	44091	NA	NA	short	unspecified	T2
ELTeC-ita	IT18370_Tommaseo_Il-Duca-D-Atene	IT18370	Tommaseo, Niccoló	Il Duca D'Atene	1802	1874	M	https://viaf.org/viaf/24639861	1858	NA	NA	1858	NA	NA	it	59561	NA	NA	medium	high	T1
ELTeC-ita	IT19150_De-Marchi_Demetrio-Pianelli	IT19150	De Marchi, Emilio	Demetrio Pianelli	1851	1901	M	viaf:12380049	1915	NA	NA	1915	NA	NA	it	97867	NA	NA	medium	high	T3
ELTeC-ita	IT18901_Petruccelli-della-Gattina_Il-sorbetto-della-regina	IT18901	Petruccelli della Gattina, Ferdinando	Il sorbetto della regina	1815	1890	M	viaf:17255247	1890	NA	NA	1890	NA	NA	ita	70467	NA	NA	medium	unspecified	T3
ELTeC-ita	IT18960_Bersezio_La-testa-della-vipera	IT18960	Bersezio, Vittorio	La testa della vipera	1828	1900	M	NA	1896	NA	NA	1896	NA	NA	it	38175	NA	NA	short	low	T3
ELTeC-ita	IT19221_Deledda_Il-Dio-Dei-Viventi	IT19221	Deledda, Grazia Cosima Damiana	Il Dio Dei Viventi	1871	1936	F	https://viaf.org/viaf/24615920	1922	NA	NA	1922	NA	NA	it	41494	NA	NA	short	high	T4
ELTeC-ita	IT19140_Fogazzaro_Malombra	IT19140	NA	Malombra	NA	NA	M	NA	1914	NA	NA	1914	NA	NA	it	136283	NA	NA	long	high	T4
ELTeC-ita	IT18500_Carcano_Damiano-storia-di-una-famiglia-povera	IT18500	NA	Damiano, storia di una famiglia povera	NA	NA	M	NA	1850	NA	NA	1850	NA	NA	it	127099	NA	NA	long	low	T1
ELTeC-ita	IT18690_Bersezio_Povera-Giovanna	IT18690	NA	Povera Giovanna!	NA	NA	M	viaf:20461502	1869	NA	NA	1869	NA	NA	it	72053	NA	NA	medium	low	T2
ELTeC-ita	IT18891_Invernizio_La-trovatella-di-Milano	IT18891	Invernizio, Carolina	La trovatella di Milano	1851	1916	F	NA	1889	NA	NA	1889	NA	NA	it	21521	NA	NA	short	high	T3
ELTeC-ita	IT19131_Dossi_La-Colonia-Felice-Utopia	IT19131	NA	La Colonia Felice - Utopia	NA	NA	M	NA	1913	NA	NA	1913	NA	NA	it	16255	NA	NA	short	high	T2
ELTeC-ita	IT18790_Capuana_Giacinta	IT18790	Capuana, Luigi	Giacinta	1839	1915	M	NA	1879	NA	NA	1879	NA	NA	ita	48093	NA	NA	short	unspecified	T2
ELTeC-ita	IT19070_Capuana_Un-Vampiro	IT19070	Capuana, Luigi	Un Vampiro	1839	1915	M	NA	1907	NA	NA	1907	NA	NA	it	9457	NA	NA	short	unspecified	T4
ELTeC-ita	IT19210_Aleramo_Il-Passaggio	IT19210	Aleramo, Sibilla	Il Passaggio	1876	1960	F	NA	1921	NA	NA	1921	NA	NA	ita	21692	NA	NA	short	high	T4
ELTeC-ita	IT19130_Deledda_Canne-Al-Vento	IT19130	Deledda, Grazia	Canne Al Vento	1871	1936	F	NA	1913	NA	NA	1913	NA	NA	ita	59210	NA	NA	medium	high	T4
ELTeC-ita	IT19120_Serao_La-mano-tagliata	IT19120	Serao, Matilde	La mano tagliata	1856	1927	F	viaf:27096653	1912	NA	NA	1912	NA	NA	ita	108691	NA	NA	long	unspecified	T4
